scientific_name,bac_gram_stain,bac_oxygen_use,biofilm_forming,spore_forming,metabolism,metabolism_carbon_source,metabolism_electron_source,metabolism_energy,pathogen,pathogen_host,pathogen_host_human,extremophile,extremophile_type
Aeromonas caviae,Negative,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Animal,Gastrointestinal_tract,No,
Aeromonas hydrophila,Negative,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human  Animal,Gastrointestinal_tract Skin,No,
Aeromonas salmonicida,Negative,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Fish,Gastrointestinal_tract,No,
Aggregatibacter actinomycetemcomitans,Negative,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,oral_cavity,No,
Aggregatibacter actinomycetemcomitans,Positive,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Aggregatibacter aphrophilus,Positive,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,oral_cavity,No,
Aggregatibacter aphrophilus,Negative,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Aggregatibacter segnis,Positive,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,oral_cavity,No,
Aggregatibacter segnis,Negative,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Agrobacterium rhizogenes,Negative,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Plant,None,No,
Agrobacterium tumefaciens,Negative,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Plant,None,No,
Alcaligenes faecalis,Negative,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,,None,No,
Alicyclobacillus acidophilus,Positive,aerobes,Yes,Yes,,,,,No,,None,Yes,Acidophile
Alicyclobacillus acidoterrestris,Positive,aerobes,Yes,Yes,,,,,No,,None,Yes,Acidophile
Alkalibacterium xylanilyticum,Positive,aerobes,Yes,No,,,,,No,,None,Yes,Alkaliphile
Anabaena variabilis,Negative,photoautotroph,Yes,No,autotroph phototroph,autotroph,phototroph,,No,,None,No,
Anaerococcus prevotii,Positive,anaerobes,Yes,No,,,,,Yes,Human,Gastrointestinal_tract,No,
Anaerococcus tetradius,Positive,anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Gastrointestinal_tract,No,
Anaerofustis stercoricanis,Negative,anaerobes,No,No,,,,,Yes,Animal,Gastrointestinal_tract,No,
Anaeromyxobacter dehalogenans,Negative,anaerobes,Yes,No,,,,,No,,None,No,
Anaplasma phagocytophilum,Negative,obligate_intracellular_parasite,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human  Animal,Blood,No,
Anaplasma phagocytophilum,Negative,obligate_intracellular,No,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Arcanobacterium haemolyticum,Positive,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Skin,No,
Arcobacter butzleri,Negative,microaerophile,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human  Animal,Gastrointestinal_tract,No,
Arthrobacter agilis,Positive,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,,None,No,
Arthrobacter aurescens,Positive,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,,None,No,
Arthrobacter globiformis,Positive,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,,None,No,
Arthrobacter simplex,Positive,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,,None,No,
Aspergillus awamori,Positive,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,,None,No,
Aspergillus flavus,Positive,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human  Animal,Respiratory_tract Blood CNS,No,
Aspergillus fumigatus,Positive,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human  Animal,Respiratory_tract Blood CNS,No,
Aspergillus nidulans,Positive,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,,None,No,
Aspergillus niger,Positive,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human  Animal,Respiratory_tract Blood CNS,No,
Aspergillus oryzae,Positive,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,,None,No,
Aspergillus sojae,Positive,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,,None,No,
Aspergillus terreus,Positive,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human  Animal,Respiratory_tract Blood CNS,No,
Azotobacter beijerinckii,Negative,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,,None,No,
Azotobacter chroococcum,Negative,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,,None,No,
Azotobacter vinelandii,Negative,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,,None,No,
Bacillus amyloliquefaciens,Positive,aerobes,Yes,Yes,,,,,No,,None,No,
Bacillus anthracis,Positive,aerobes,Yes,Yes,,,,,Yes,Human  Animal,Respiratory_tract Blood CNS,No,
Bacillus cereus,Positive,aerobes,Yes,Yes,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human  Animal,Gastrointestinal_tract Respiratory_tract Blood CNS,No,
Bacillus coagulans,Positive,aerobes,Yes,Yes,,,,,No,,None,No,
Bacillus firmus,Positive,aerobes,Yes,Yes,,,,,No,,None,No,
Bacillus licheniformis,Positive,aerobes,Yes,Yes,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,,None,No,
Bacillus megaterium,Positive,aerobes,Yes,Yes,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,,None,No,
Bacillus pumilus,Positive,aerobes,Yes,Yes,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,,None,No,
Bacillus sphaericus,Positive,aerobes,Yes,Yes,,,,,No,,None,No,
Bacillus stearothermophilus,Positive,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,,None,No,
Bacillus subtilis,Positive,aerobes,Yes,Yes,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,,None,No,
Bacillus thuringiensis,Positive,aerobes,Yes,Yes,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Animal,Gastrointestinal_tract,No,
Bacteroides caccae,Negative,anaerobes,Yes,No,,,,,Yes,Human,Gastrointestinal_tract,No,
Bacteroides fragilis,Negative,anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Gastrointestinal_tract,No,
Bacteroides ovatus,Negative,anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Gastrointestinal_tract,No,
Bacteroides thetaiotaomicron,Negative,anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Gastrointestinal_tract,No,
Bacteroides uniformis,Negative,anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Gastrointestinal_tract,No,
Bartonella henselae,Negative,obligate_intracellular_parasite,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Blood CNS,No,
Bartonella henselae,Negative,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Bartonella henselae,Positive,obligate_intracellular,No,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Bartonella henselae,Negative,facultative_intracellular,No,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Bartonella quintana,Positive,obligate_intracellular,No,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Blood CNS,No,
Bartonella quintana,Negative,facultative_intracellular,No,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Bifidobacterium adolescentis,Positive,anaerobes,No,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,,None,No,
Bifidobacterium bifidum,Positive,anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,,None,No,
Bifidobacterium bifidum,Positive,anaerobes,No,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Bifidobacterium bifidum,Positive,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Bifidobacterium breve,Positive,anaerobes,No,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,,None,No,
Bifidobacterium lactis,Positive,anaerobes,No,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,,None,No,
Bifidobacterium longum,Positive,anaerobes,No,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,,None,No,
Blastocystis hominis,Positive,anaerobes,No,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Gastrointestinal_tract,No,
Bordetella bronchiseptica,Positive,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Animal,Respiratory_tract,No,
Bordetella bronchiseptica,Negative,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Bordetella parapertussis,Negative,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Respiratory_tract,No,
Bordetella parapertussis,Positive,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Bordetella pertussis,Negative,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Respiratory_tract,No,
Bordetella pertussis,Positive,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Borrelia burgdorferi,Negative,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human  Animal,Blood CNS,No,
Borrelia burgdorferi,Negative,microaerophile,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Bradyrhizobium elkanii,Negative,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,Plant,None,No,
Bradyrhizobium japonicum,Negative,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,Plant,None,No,
Brevibacterium linens,Positive,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,,None,No,
Brevibacterium linens,Positive,aerobes,No,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Brevundimonas diminuta,Negative,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,,None,No,
Brucella abortus,Negative,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Animal,Blood CNS,No,
Brucella abortus,Positive,facultative_intracellular,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Brucella abortus,Negative,facultative_intracellular,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Brucella melitensis,Negative,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Animal,Blood CNS,No,
Brucella melitensis,Positive,facultative_intracellular,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Brucella melitensis,Negative,facultative_intracellular,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Brucella suis,Positive,facultative_intracellular,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Animal,Blood CNS,No,
Brucella suis,Negative,facultative_intracellular,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Burkholderia cepacia,Negative,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human  Animal,Respiratory_tract Blood CNS,Yes,Acidophile
Burkholderia cepacia,Negative,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Burkholderia mallei,Negative,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Animal,Respiratory_tract Blood CNS,No,
Burkholderia pseudomallei,Negative,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human  Animal,Respiratory_tract Blood CNS,No,
Burkholderia pseudomallei,Negative,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Campylobacter coli,Negative,microaerophile,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human  Animal,Gastrointestinal_tract,No,
Campylobacter jejuni,Negative,microaerophile,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human  Animal,Gastrointestinal_tract,No,
Candida albicans,Positive,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,oral_cavity Respiratory_tract Blood CNS Urogenital Gastrointestinal_tract,No,
Candida glabrata,Positive,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,oral_cavity Respiratory_tract Blood CNS Urogenital Gastrointestinal_tract,No,
Candida krusei,Positive,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,oral_cavity Respiratory_tract Blood CNS Urogenital Gastrointestinal_tract,No,
Candida parapsilosis,Positive,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,oral_cavity Respiratory_tract Blood CNS Urogenital Gastrointestinal_tract,No,
Candida tropicalis,Positive,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,oral_cavity Respiratory_tract Blood CNS Urogenital Gastrointestinal_tract,No,
Capnocytophaga canimorsus,Negative,anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,oral_cavity,No,
Cardiobacterium hominis,Negative,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Blood,No,
Cardiobacterium hominis,Positive,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Chlamydia pneumoniae,Negative,obligate_intracellular_parasite,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Respiratory_tract,No,
Chlamydia pneumoniae,Negative,obligate_intracellular,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Chlamydia pneumoniae,Positive,anaerobes,No,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Chlamydia pneumoniae,Negative,obligate_intracellular,No,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Chlamydia trachomatis,Negative,obligate_intracellular_parasite,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Urogenital eyes,No,
Chlamydia trachomatis,Negative,obligate_intracellular,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Chlamydia trachomatis,Positive,anaerobes,No,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Chlamydia trachomatis,Negative,obligate_intracellular,No,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Chlamydia trachomatis serovar D,Negative,obligate_intracellular_parasite,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Urogenital eyes,No,
Chlamydophila pneumoniae,Negative,obligate_intracellular,No,No,,,,,Yes,Human,Respiratory_tract,No,
Citrobacter freundii,Negative,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human  Animal,Gastrointestinal_tract Blood CNS,No,
Citrobacter koseri,Negative,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human  Animal,Gastrointestinal_tract Blood CNS,No,
Clostridium acetobutylicum,Positive,anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human  Animal,Gastrointestinal_tract,No,
Clostridium botulinum,Positive,anaerobes,Yes,Yes,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human  Animal,Gastrointestinal_tract Blood CNS,No,
Clostridium difficile,Positive,anaerobes,Yes,Yes,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human  Animal,Gastrointestinal_tract,No,
Clostridium perfringens,Positive,anaerobes,Yes,Yes,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human  Animal,Gastrointestinal_tract Blood CNS,No,
Clostridium tetani,Positive,anaerobes,Yes,Yes,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human  Animal,Blood CNS,No,
Comamonas acidovorans,Negative,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,,None,No,
Comamonas denitrificans,Negative,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,,None,No,
Comamonas testosteroni,Negative,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,,None,No,
Corynebacterium diphtheriae,Positive,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Respiratory_tract Skin,No,
Corynebacterium diphtheriae,Positive,aerobes,Yes,Yes,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Corynebacterium glutamicum,Positive,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,,None,No,
Corynebacterium jeikeium,Positive,facultative_anaerobes,Yes,Yes,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Respiratory_tract Blood CNS,No,
Corynebacterium jeikeium,Positive,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Corynebacterium striatum,Positive,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,,None,No,
Corynebacterium urealyticum,Positive,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,,None,No,
Corynebacterium xerosis,Positive,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,,None,No,
Coxiella burnetii,Negative,obligate_intracellular_parasite,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human  Animal,Blood CNS,No,
Coxiella burnetii,Negative,obligate_intracellular,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Coxiella burnetii,Positive,obligate_intracellular,No,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Coxiella burnetii,Negative,obligate_intracellular,No,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Cryptococcus neoformans,not available,obligate_aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Respiratory_tract Blood CNS,No,
Cryptococcus neoformans,Positive,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Cryptosporidium parvum,Positive,anaerobes,No,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human  Animal,Gastrointestinal_tract,No,
Cutibacterium acnes,Positive,anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Skin,No,
Deinococcus radiodurans,Positive,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,,None,Yes,Acidophile
Dialister pneumosintes,Negative,anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Respiratory_tract,No,
Edwardsiella tarda,Negative,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Animal,Gastrointestinal_tract,No,
Ehrlichia chaffeensis,Negative,obligate_intracellular_parasite,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Blood CNS,No,
Ehrlichia chaffeensis,Negative,obligate_intracellular,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Ehrlichia chaffeensis,Negative,obligate_intracellular,No,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Encephalitozoon intestinalis,Positive,anaerobes,No,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human  Animal,Gastrointestinal_tract,No,
Enterobacter aerogenes,Negative,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human  Animal,Gastrointestinal_tract Blood CNS,No,
Enterobacter cloacae,Negative,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human  Animal,Gastrointestinal_tract Blood CNS,No,
Enterobacteriaceae,Negative,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human  Animal,Gastrointestinal_tract Blood CNS,No,
Enterococcus casseliflavus,Positive,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Gastrointestinal_tract Urogenital,No,
Enterococcus faecalis,Positive,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Gastrointestinal_tract Urogenital,No,
Enterococcus faecium,Positive,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Gastrointestinal_tract Urogenital,No,
Enterococcus gallinarum,Positive,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Animal,Gastrointestinal_tract,No,
Enterococcus raffinosus,Positive,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Gastrointestinal_tract Urogenital,No,
Enterocytozoon bieneusi,Positive,anaerobes,No,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human  Animal,Gastrointestinal_tract,No,
Erysipelothrix rhusiopathiae,Positive,facultative_anaerobes,Yes,Yes,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Animal,Skin,No,
Erysipelothrix rhusiopathiae,Positive,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,,,,No,
Escherichia albertii,Negative,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human  Animal,Gastrointestinal_tract,No,
Escherichia blattae,Negative,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Animal,Gastrointestinal_tract,No,
Escherichia coli,Negative,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human  Animal,Gastrointestinal_tract Blood CNS,No,
Escherichia fergusonii,Negative,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human  Animal,Gastrointestinal_tract,No,
Escherichia hermannii,Negative,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human  Animal,Gastrointestinal_tract,No,
Escherichia vulneris,Negative,facultative_anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human  Animal,Gastrointestinal_tract,No,
Eubacterium lentum,Positive,anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Gastrointestinal_tract,No,
Eubacterium rectale,Positive,anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Gastrointestinal_tract,No,
Exiguobacterium sibiricum,Positive,aerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,No,,None,No,
Finegoldia magna,Positive,anaerobes,Yes,No,heterotroph organo chemo,heterotroph,organotroph,chemotroph,Yes,Human,Gastrointestinal_tract,No,
