scientific_name,virus_genome,virus_strand,virus_strand_sense,virus_capsid_symmetry,virus_capsid,pathogen,pathogen_host,Host_species
Acinetobacter phage LMA2,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA20,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA21,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA22,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA23,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA24,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA25,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA26,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA27,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA28,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA29,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA3,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA30,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA31,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA32,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA33,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA34,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA35,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA36,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA37,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA38,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA39,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA4,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA40,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA41,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA42,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA43,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA44,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA45,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA46,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA47,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA48,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA49,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA5,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA50,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA51,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA52,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA53,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA55,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA56,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA57,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA58,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA59,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA6,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA60,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA61,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA62,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA63,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA64,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA65,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA66,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA67,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA68,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA69,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA7,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA70,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA71,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA72,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA73,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA74,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA75,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA76,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA77,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA78,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA79,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA8,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA80,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA81,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA82,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA83,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA84,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA85,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA86,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA87,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA88,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA89,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA9,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA90,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA91,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA92,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA93,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA94,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA95,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA96,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA97,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA98,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Acinetobacter phage LMA99,DNA,ss,Positive,Icosahedral,Naked,Yes,Bacteria,Bacteria
Adeno-associated virus 2,DNA,ss,Positive,Icosahedral,Naked,Yes,Human,Human
Adeno-associated virus 3,DNA,ss,Positive,Icosahedral,Naked,Yes,Human,Human
Adeno-associated virus 4,DNA,ss,Positive,Icosahedral,Naked,Yes,Human,Human
Adeno-associated virus 5,DNA,ss,Positive,Icosahedral,Naked,Yes,Human,Human
Adeno-associated virus 6,DNA,ss,Positive,Icosahedral,Naked,Yes,Human,Human
Adeno-associated virus 7,DNA,ss,Positive,Icosahedral,Naked,Yes,Human,Human
Adenovirus 1,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
Adenovirus 10,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
Adenovirus 11,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
Adenovirus 12,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
Adenovirus 13,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
Adenovirus 14,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
Adenovirus 15,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
Adenovirus 16,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
Adenovirus 17,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
Adenovirus 18,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
Adenovirus 19,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
Adenovirus 2,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
Adenovirus 20,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
Adenovirus 21,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
Adenovirus 22,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
Adenovirus 23,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
Adenovirus 24,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
Adenovirus 25,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
Adenovirus 26,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
Adenovirus 27,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
Adenovirus 28,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
Adenovirus 29,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
Adenovirus 3,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
Adenovirus 30,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
Adenovirus 31,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
Adenovirus 32,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
Adenovirus 33,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
Adenovirus 34,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
Adenovirus 35,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
Adenovirus 36,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
Adenovirus 37,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
Adenovirus 38,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
Adenovirus 39,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
Adenovirus 4,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
Adenovirus 40,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
Adenovirus 41,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
Adenovirus 42,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
Adenovirus 43,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
Adenovirus 44,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
Adenovirus 45,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
Adenovirus 46,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
Adenovirus 47,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
Adenovirus 48,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
Adenovirus 49,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
Adenovirus 5,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
Adenovirus 50,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
Adenovirus 51,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
Adenovirus 52,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
Adenovirus 53,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
Adenovirus 54,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
Adenovirus 55,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
Adenovirus 56,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
Adenovirus 57,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
Adenovirus 58,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
Adenovirus 59,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
Adenovirus 6,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
Adenovirus 60,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
Adenovirus 61,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
Adenovirus 62,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
Adenovirus 63,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
Adenovirus 64,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
Adenovirus 65,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
Adenovirus 66,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
Adenovirus 67,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
Adenovirus 68,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
Adenovirus 69,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
Adenovirus 7,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
Adenovirus 70,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
Adenovirus 71,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
Adenovirus 72,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
Adenovirus 73,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
Adenovirus 74,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
Adenovirus 75,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
Adenovirus 76,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
Adenovirus 77,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
Adenovirus 78,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
Adenovirus 79,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
Adenovirus 8,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
Adenovirus 80,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
Adenovirus 81,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
Adenovirus 82,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
Adenovirus 83,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
Adenovirus 84,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
Adenovirus 85,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
Adenovirus 86,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
Adenovirus 87,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
Adenovirus 88,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
Adenovirus 89,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
Adenovirus 9,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
Adenovirus 90,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
Adenovirus 91,DNA,ds,Positive,Icosahedral,Naked,Yes,Human,Human
African horse sickness virus,RNA,ss,Negative,Icosahedral,Enveloped,Yes,Animal,Horse
Aichi virus,RNA,ss,Positive,Icosahedral,Naked,Yes,Human,Human
Akabane virus,RNA,ss,Negative,Icosahedral,Enveloped,Yes,"Human, Animal","Human, Animal"
Aleutian mink disease virus,RNA,ss,Positive,Icosahedral,Enveloped,Yes,Animal,Mink
Alfalfa latent virus,RNA,ss,Positive,Icosahedral,Naked,Yes,Plant,Plant
Alfalfa mosaic virus,RNA,ss,Positive,Helical,Naked,Yes,Plant,Plant
Alkhurma virus,RNA,ss,Negative,Icosahedral,Enveloped,Yes,Human,Human
Alphaforest virus,RNA,ss,Positive,Icosahedral,Enveloped,Yes,"Human, Animal","Human, Animal"
Alphavirus,RNA,ss,Positive,Icosahedral,Enveloped,Yes,"Human, Animal","Human, Animal"
Amapari virus,RNA,ss,Positive,Icosahedral,Naked,Yes,Human,Human
Amastigomonas castellanii mimivirus,DNA,ds,Positive,Icosahedral,Naked,Yes,Protist,Amastigomonas castellanii
American dog tick virus,RNA,ss,Negative,Icosahedral,Enveloped,Yes,Animal,Dog
Andes virus,RNA,ss,Negative,Helical,Enveloped,Yes,Human,Human
Anhui virus,RNA,ss,Positive,Icosahedral,Naked,Yes,Human,Human
Apeu virus,RNA,ss,Positive,Icosahedral,Naked,Yes,Human,Human
Apoi virus,RNA,ss,Positive,Icosahedral,Naked,Yes,Human,Human
Aransas Bay virus,RNA,ss,Positive,Icosahedral,Naked,Yes,Human,Human
Arboledas virus,RNA,ss,Positive,Icosahedral,Naked,Yes,Human,Human
Armigeres subalbatus reovirus,RNA,ds,Positive,Icosahedral,Naked,No,Animal,Insect
Aroa virus,RNA,ss,Positive,Icosahedral,Enveloped,Yes,Human,Human
Arumowot virus,RNA,ss,Positive,Icosahedral,Naked,Yes,Human,Human
Asfar virus,RNA,ss,Positive,Icosahedral,Naked,Yes,Human,Human
Astrevirus,RNA,ss,Positive,Icosahedral,Naked,Yes,Human,Human
Astrovirus,RNA,ss,Positive,Icosahedral,Naked,Yes,"Human, Animal","Human, Animal"
Australian bat lyssavirus,RNA,ss,Negative,Helical,Enveloped,Yes,Animal,Bat
Australian encephalitis virus,RNA,ss,Positive,Icosahedral,Enveloped,Yes,Human,Human
Australian kunjin virus,RNA,ss,Positive,Icosahedral,Enveloped,Yes,Human,Human
Avian avulavirus 1,RNA,ss,Positive,Icosahedral,Naked,Yes,Animal,Bird
Avian bornavirus 1,RNA,ss,Negative,Helical,Enveloped,Yes,Animal,Bird
Avian encephalomyelitis virus,RNA,ss,Positive,Icosahedral,Naked,Yes,Animal,Bird
Avian influenza virus,RNA,ss,Negative,Helical,Enveloped,Yes,Animal,Bird
Avian leukosis virus,RNA,ss,Positive,Icosahedral,Enveloped,Yes,Animal,Bird
Avian metapneumovirus,RNA,ss,Negative,Helical,Enveloped,Yes,Animal,Bird
Avian orthoreovirus,RNA,ds,Positive,Icosahedral,Naked,Yes,Animal,Bird
Avian paramyxovirus 1,RNA,ss,Negative,Helical,Enveloped,Yes,Animal,Bird
Avian paramyxovirus 2,RNA,ss,Negative,Helical,Enveloped,Yes,Animal,Bird
Avian paramyxovirus 3,RNA,ss,Negative,Helical,Enveloped,Yes,Animal,Bird
Avian paramyxovirus 4,RNA,ss,Negative,Helical,Enveloped,Yes,Animal,Bird
Avian paramyxovirus 5,RNA,ss,Negative,Helical,Enveloped,Yes,Animal,Bird
Avian paramyxovirus 6,RNA,ss,Negative,Helical,Enveloped,Yes,Animal,Bird
Avian paramyxovirus 7,RNA,ss,Negative,Helical,Enveloped,Yes,Animal,Bird
Avian paramyxovirus 8,RNA,ss,Negative,Helical,Enveloped,Yes,Animal,Bird
Avian paramyxovirus 9,RNA,ss,Negative,Helical,Enveloped,Yes,Animal,Bird
