scientific_name,euk_growth,euk_morphology,biofilm_forming,euk_uv_resistant,extremophile,extremophile_type,euk_lifestyle,euk_lifestyle_benthic,euk_toxin,euk_antagonism,euk_antagonism_type,euk_symbiosis
Amphora coffeaeformis,Solitary,Ellipsoidal,No,Yes,No,,Benthic,Pennate,No,No,,No
Amphora coffeaeformis Agardh,Solitary,Ellipsoidal,No,Yes,No,,Benthic,Pennate,No,No,,No
Asterionella formosa,Colonial,Star-shaped,Yes,No,No,,Planktonic,Pennate,No,No,,No
Aulacoseira granulata,Colonial,Circular,Yes,Yes,Yes,Psychrophile,Planktonic,Centric,No,No,,No
Aulacoseira granulata (Ehrenberg) Simonsen,Colonial,Circular,Yes,Yes,Yes,Psychrophile,Planktonic,Centric,No,No,,No
Aulacoseira islandica,Colonial,Circular,Yes,Yes,Yes,Psychrophile,Planktonic,Centric,No,No,,No
Aulacoseira islandica (O. Müller) Simonsen,Colonial,Circular,Yes,Yes,Yes,Psychrophile,Planktonic,Centric,No,No,,No
Aulacoseira italica,Colonial,Circular,Yes,Yes,Yes,Psychrophile,Planktonic,Centric,No,No,,No
Bacillaria paxillifer,Colonial,Rectangular,Yes,Yes,No,,Planktonic,Pennate,No,No,,No
Biddulphia aurita,Colonial,Circular,Yes,Yes,No,,Planktonic,Centric,No,No,,No
Campylodiscus clypeus,Solitary,Circular,No,Yes,No,,Benthic,Centric,No,No,,No
Chaetoceros debilis,Colonial,Elongated,Yes,Yes,No,,Planktonic,Pennate,No,No,,No
Chaetoceros debilis Cleve,Colonial,Elongated,Yes,Yes,No,,Planktonic,Pennate,No,No,,No
Chaetoceros decipiens,Colonial,Elongated,Yes,Yes,No,,Planktonic,Pennate,No,No,,No
Chaetoceros diadema,Colonial,Elongated,Yes,Yes,No,,Planktonic,Pennate,No,No,,No
Chaetoceros mitra,Colonial,Elongated,Yes,Yes,No,,Planktonic,Pennate,No,No,,No
Chaetoceros muelleri,Colonial,Elongated,Yes,Yes,No,,Planktonic,Pennate,No,No,,No
Chaetoceros socialis,Colonial,Elongated,Yes,Yes,No,,Planktonic,Pennate,No,No,,No
Chaetoceros socialis Lauder,Colonial,Elongated,Yes,Yes,No,,Planktonic,Pennate,No,No,,No
Cocconeis pediculus,Solitary,Ellipsoidal,No,Yes,No,,Benthic,Pennate,No,No,,No
Cocconeis placentula,Solitary,Ellipsoidal,No,Yes,No,,Benthic,Pennate,No,No,,No
Cocconeis placentula Ehrenberg,Solitary,Ellipsoidal,No,Yes,No,,Benthic,Pennate,No,No,,No
Cocconeis scutellum,Solitary,Ellipsoidal,No,Yes,No,,Benthic,Pennate,No,No,,No
Cocconeis scutellum Ehrenberg,Solitary,Ellipsoidal,No,Yes,No,,Benthic,Pennate,No,No,,No
Coscinodiscus centralis,Colonial,Circular,Yes,Yes,No,,Planktonic,Centric,No,No,,No
Coscinodiscus wailesii,Colonial,Circular,Yes,Yes,No,,Planktonic,Centric,No,No,,No
Coscinodiscus wailesii Gran & Angst,Colonial,Circular,Yes,Yes,No,,Planktonic,Centric,No,No,,No
Cyclotella stelligera,Colonial,Circular,Yes,Yes,Yes,Psychrophile,Planktonic,Centric,No,No,,No
Cyclotella striata,Colonial,Circular,Yes,Yes,Yes,Psychrophile,Planktonic,Centric,No,No,,No
Cyclotella striata (Kützing) Grunow,Colonial,Circular,Yes,Yes,Yes,Psychrophile,Planktonic,Centric,No,No,,No
Cymbella affinis,Solitary,Ellipsoidal,No,Yes,No,,Benthic,Pennate,No,No,,No
Cymbella affinis Kützing,Solitary,Ellipsoidal,No,Yes,No,,Benthic,Pennate,No,No,,No
Cymbella cistula,Solitary,Ellipsoidal,No,Yes,No,,Benthic,Pennate,No,No,,No
Cymbella cistula (Ehrenberg) Kirchner,Solitary,Ellipsoidal,No,Yes,No,,Benthic,Pennate,No,No,,No
Cymbella ventricosa,Solitary,Ellipsoidal,No,Yes,No,,Benthic,Pennate,No,No,,No
Dactyliosolen mediterraneus,Colonial,Elongated,Yes,Yes,No,,Planktonic,Pennate,No,No,,No
Diatoma elongatum,Colonial,Elongated,Yes,Yes,No,,Planktonic,Pennate,No,No,,No
Diploneis smithii,Solitary,Ellipsoidal,No,Yes,No,,Benthic,Pennate,No,No,,No
Entosiphon sulcatum,Colonial,Elongated,Yes,Yes,No,,Planktonic,Pennate,No,No,,No
Fragilaria capucina,Colonial,Elongated,Yes,Yes,Yes,Psychrophile,Benthic,Pennate,No,No,,No
Fragilaria crotonensis,Colonial,Elongated,Yes,Yes,Yes,Psychrophile,Benthic,Pennate,No,No,,No
Fragilaria crotonensis Kitton,Colonial,Elongated,Yes,Yes,Yes,Psychrophile,Benthic,Pennate,No,No,,No
Fragilaria pinnata,Colonial,Elongated,Yes,Yes,Yes,Psychrophile,Benthic,Pennate,No,No,,No
Fragilaria ulna,Colonial,Elongated,Yes,Yes,Yes,Psychrophile,Benthic,Pennate,No,No,,No
Fragilariopsis cylindrus,Colonial,Elongated,Yes,Yes,Yes,Psychrophile,Planktonic,Pennate,No,No,,No
Fragilariopsis cylindrus (Grunow) Krieger,Colonial,Elongated,Yes,Yes,Yes,Psychrophile,Planktonic,Pennate,No,No,,No
Fragilariopsis kerguelensis,Colonial,Elongated,Yes,Yes,Yes,Psychrophile,Planktonic,Pennate,No,No,,No
Fragilariopsis kerguelensis (O'Meara) Hustedt,Colonial,Elongated,Yes,Yes,Yes,Psychrophile,Planktonic,Pennate,No,No,,No
Gomphonema acuminatum,Solitary,Ellipsoidal,No,No,Yes,Acidophile,Benthic,Pennate,No,No,,No
Gomphonema olivaceum,Solitary,Ellipsoidal,No,No,Yes,Acidophile,Benthic,Pennate,No,No,,No
Gomphonema olivaceum (Lyngbye) Kützing,Solitary,Ellipsoidal,No,No,Yes,Acidophile,Benthic,Pennate,No,No,,No
Gomphonema parvulum,Solitary,Ellipsoidal,No,No,Yes,Acidophile,Benthic,Pennate,No,No,,No
Gomphonema parvulum (Kützing) Kützing,Solitary,Ellipsoidal,No,No,Yes,Acidophile,Benthic,Pennate,No,No,,No
Gyrosigma balticum,Solitary,Ellipsoidal,No,Yes,No,,Benthic,Pennate,No,No,,No
Haslea ostrearia,Solitary,Ellipsoidal,No,Yes,No,,Benthic,Pennate,No,No,,No
Hemiaulus hauckii,Solitary,Ellipsoidal,No,Yes,No,,Planktonic,Centric,No,No,,No
Hyalodiscus scoticus,Colonial,Circular,Yes,Yes,No,,Planktonic,Centric,No,No,,No
Leptocylindrus danicus,Colonial,Elongated,Yes,Yes,No,,Planktonic,Pennate,No,No,,No
Leptocylindrus danicus Cleve,Colonial,Elongated,Yes,Yes,No,,Planktonic,Pennate,No,No,,No
Leptocylindrus mediterraneus,Colonial,Elongated,Yes,Yes,No,,Planktonic,Pennate,No,No,,No
Leptocylindrus minimus,Colonial,Elongated,Yes,Yes,No,,Planktonic,Pennate,No,No,,No
Licmophora abbreviata,Solitary,Elongated,No,Yes,No,,Benthic,Pennate,No,No,,No
Mastogloia braunii,Solitary,Ellipsoidal,No,Yes,No,,Benthic,Pennate,No,No,,No
Mastogloia braunii Grunow,Solitary,Ellipsoidal,No,Yes,No,,Benthic,Pennate,No,No,,No
Mastogloia elliptica,Solitary,Ellipsoidal,No,Yes,No,,Benthic,Pennate,No,No,,No
Mastogloia smithii,Solitary,Ellipsoidal,No,Yes,No,,Benthic,Pennate,No,No,,No
Mastogloia smithii Thwaites,Solitary,Ellipsoidal,No,Yes,No,,Benthic,Pennate,No,No,,No
Melosira ambigua,Colonial,Cilinder,Yes,Yes,Yes,Psychrophile,Planktonic,Centric,No,No,,No
Melosira ambigua (Grunow) O. Müller,Colonial,Cilinder,Yes,Yes,Yes,Psychrophile,Planktonic,Centric,No,No,,No
Melosira binderana,Colonial,Cilinder,Yes,Yes,Yes,Psychrophile,Planktonic,Centric,No,No,,No
Melosira varians,Colonial,Cilinder,Yes,Yes,Yes,Psychrophile,Planktonic,Centric,No,No,,No
Melosira varians C. Agardh,Colonial,Cilinder,Yes,Yes,Yes,Psychrophile,Planktonic,Centric,No,No,,No
Phaeodactylum tricornutum Bohlin,Colonial,Triangular,Yes,Yes,No,,Planktonic,Centric,No,No,,No
Porosira glacialis,Colonial,Circular,Yes,Yes,Yes,Psychrophile,Planktonic,Centric,No,No,,No
Porosira glacialis (Grunow) Jørgensen,Colonial,Circular,Yes,Yes,Yes,Psychrophile,Planktonic,Centric,No,No,,No
Proboscia alata,Solitary,Elongated,No,Yes,No,,Benthic,Pennate,No,No,,No
Proboscia alata (Ehrenberg) Sundström,Solitary,Elongated,No,Yes,No,,Benthic,Pennate,No,No,,No
Proboscia inermis,Solitary,Elongated,No,Yes,No,,Benthic,Pennate,No,No,,No
Rhizosolenia alata,Colonial,Elongated,Yes,Yes,No,,Planktonic,Pennate,No,No,,No
Rhizosolenia setigera,Colonial,Elongated,Yes,Yes,No,,Planktonic,Pennate,No,No,,No
Rhizosolenia setigera Brightwell,Colonial,Elongated,Yes,Yes,No,,Planktonic,Pennate,No,No,,No
Rhopalodia gibba,Solitary,Elongated,No,Yes,Yes,Psychrophile,Benthic,Pennate,No,No,,No
Rhopalodia gibba (Ehrenberg) O. Müller,Solitary,Elongated,No,Yes,Yes,Psychrophile,Benthic,Pennate,No,No,,No
Skeletonema costatum,Colonial,Cilinder,Yes,No,No,,Planktonic,Pennate,No,No,,No
Skeletonema costatum Greville,Colonial,Cilinder,Yes,No,No,,Planktonic,Pennate,No,No,,No
Skeletonema marinoi,Colonial,Cilinder,Yes,No,No,,Planktonic,Pennate,No,No,,No
Skeletonema marinoi Sarno & Zingone,Colonial,Cilinder,Yes,No,No,,Planktonic,Pennate,No,No,,No
Skeletonema potamos,Colonial,Cilinder,Yes,No,No,,Planktonic,Pennate,No,No,,No
Stephanodiscus binderanus,Colonial,Circular,Yes,Yes,Yes,Psychrophile,Planktonic,Centric,No,No,,No
Stephanodiscus hantzschii,Colonial,Circular,Yes,Yes,Yes,,Planktonic,Centric,No,No,,No
Stephanodiscus hantzschii Grunow,Colonial,Circular,Yes,Yes,Yes,Psychrophile,Planktonic,Centric,No,No,,No
Stephanodiscus niagarae,Colonial,Circular,Yes,Yes,Yes,Psychrophile,Planktonic,Centric,No,No,,No
Stephanodiscus niagarae Ehrenberg,Colonial,Circular,Yes,Yes,Yes,Psychrophile,Planktonic,Centric,No,No,,No
Synedra acus,Colonial,Elongated,Yes,Yes,No,,Planktonic,Pennate,No,No,,No
Synedra acus Kützing,Colonial,Elongated,Yes,Yes,No,,Planktonic,Pennate,No,No,,No
Synedra radians,Colonial,Elongated,Yes,Yes,No,,Planktonic,Pennate,No,No,,No
Synedra ulna,Colonial,Elongated,Yes,Yes,No,,Planktonic,Pennate,No,No,,No
Synedra ulna (Nitzsch) Ehrenberg,Colonial,Elongated,Yes,Yes,No,,Planktonic,Pennate,No,No,,No
Thalassiosira antarctica,Colonial,Circular,Yes,Yes,Yes,Psychrophile,Planktonic,Centric,No,No,,No
Thalassiosira antarctica Comber,Colonial,Circular,Yes,Yes,Yes,Psychrophile,Planktonic,Centric,No,No,,No
Thalassiosira baltica,Colonial,Circular,Yes,Yes,No,,Planktonic,Centric,No,No,,No
Thalassiosira eccentrica,Colonial,Circular,Yes,No,No,,Planktonic,Centric,No,No,,No
Thalassiosira gravida,Colonial,Circular,Yes,Yes,No,,Planktonic,Centric,No,No,,No
Thalassiosira nordenskioldii,Colonial,Circular,Yes,Yes,Yes,Psychrophile,Planktonic,Centric,No,No,,No
Thalassiosira nordenskioldii Cleve,Colonial,Circular,Yes,Yes,Yes,Psychrophile,Planktonic,Centric,No,No,,No
Thalassiosira oceanica,Colonial,Circular,Yes,Yes,No,,Planktonic,Centric,No,No,,No
Thalassiosira oceanica Hasle,Colonial,Circular,Yes,Yes,No,,Planktonic,Centric,No,No,,No
Thalassiosira rotula,Colonial,Circular,Yes,Yes,No,,Planktonic,Centric,No,No,,No
Thalassiosira rotula Meunier,Colonial,Circular,Yes,Yes,No,,Planktonic,Centric,No,No,,No
Thalassiosira weissflogii,Colonial,Circular,Yes,Yes,No,,Planktonic,Centric,No,No,,No
Thalassiosira weissflogii (Grunow) Fryxell & Hasle,Colonial,Circular,Yes,Yes,No,,Planktonic,Centric,No,No,,No
