"scientific_name","taxonomy_id","entry_counts","rank","domain","virus_genome","virus_strand","virus_strand_sense","virus_capsid","virus_capsid_symmetry","pathogen","pathogen_host","volunteer_name","source","reference"
"Canine hepacivirus AAK-2011",1009692,2,"species","Virus","RNA","Incongruent","Incongruent","Incongruent","Ellipsoid","Yes","Animal Human","Jose Agregado Joo Sun Priscilla Mun","TMD","Virus Pathogen Database and Analysis Resource (ViPR) - Flaviviridae - Null Canine Hepacivirus AAK-2011 Strain CHV-K217. https://www.viprbrc.org/brc/viprStrainDetails.spg?ncbiAccession=JF744992&decorator=flavi&context=1386599316842. Accessed 11 Sept. 2020. Kapoor A, Simmonds P, Gerold G, et al. Characterization of a canine homolog of hepatitis C virus. Proceedings of the National Academy of Sciences of the United States of America. 2011 Jul;108(28):11608-11613. DOI: 10.1073/pnas.1101794108.

Virus Pathogen Database and Analysis Resource (ViPR) - Flaviviridae - Null Canine Hepacivirus AAK-2011 Strain CHV-K217. https://www.viprbrc.org/brc/viprStrainDetails.spg?ncbiAccession=JF744992&decorator=flavi&context=1386599316842. Accessed 9 Sept. 2020.

“Genus: Hepacivirus - Flaviviridae - Positive-Sense RNA Viruses.” International Committee on Taxonomy of Viruses (ICTV), https://talk.ictvonline.org/ictv-reports/ictv_online_report/positive-sense-rna-viruses/w/flaviviridae/362/genus-hepacivirus. Accessed 9 Sept. 2020."
"Tuberose mild mosaic virus",101281,3,"no_rank","Virus","RNA","ss","Positive_strand","Naked","Helical","Yes","Plant","Zara Nadeem Tasmia Promi Zahin Quayyum","TMD","Chen, C. C., and C. A. Chang. “Characterization of a Potyvirus Causing Mild Mosaic on Tuberose.” Plant Disease, vol. 82, no. 1, Jan. 1998, pp. 45–49. DOI.org (Crossref), doi:10.1094/PDIS.1998.82.1.45.

Dey, K. K., et al. “First Report of Tuberose Mild Mottle Virus Infecting Tuberose ( Polianthes Tuberosa ) in the United States.” Plant Disease, vol. 102, no. 2, Feb. 2018, pp. 461–461. DOI.org (Crossref), doi:10.1094/PDIS-07-17-1024-PDN. Chen, C. C., and C. A. Chang. “Characterization of a Potyvirus Causing Mild Mosaic on Tuberose.” Plant Disease, vol. 82, no. 1, Jan. 1998, pp. 45–49. DOI.org (Crossref), doi:10.1094/PDIS.1998.82.1.45.

Potyvirus ~ ViralZone Page. https://viralzone.expasy.org/50?outline=all_by_species. Accessed 5 July 2020.

Raj, S. K., et al. “First Report of Tuberose Mild Mosaic Potyvirus from Tuberose (Polianthes Tuberosa L.) in India.” Australasian Plant Disease Notes, vol. 4, no. 1, Dec. 2009, pp. 93–95. Springer Link, doi:10.1071/DN09040. Chen, Chin-Chih, et al. Molecular Characterization of Tuberose Mild Mosaic Virus and Preparation of Its Antiserum to the Coat Protein Expressed in Bacteria. 2002. Semantic Scholar, doi:10.7016/BBAS.200201.0013."
"Equine rotavirus strain H-1",101353,2,"no_rank","Virus","RNA","ds","Positive_strand","Incongruent","Incongruent","Incongruent","Animal","Jake Cohen Jarair Tahsin","TMD","Ciarlet, Max, et al. “[No Title Found].” Virus Genes, vol. 22, no. 1, 2001, pp. 5–20. DOI.org (Crossref), doi:10.1023/A:1008175716816.
Ghosh, Souvik, et al. “Evidence for the Porcine Origin of Equine Rotavirus Strain H-1.” Veterinary Microbiology, vol. 158, no. 3–4, Aug. 2012, pp. 410–14. DOI.org (Crossref), doi:10.1016/j.vetmic.2012.02.037. Rotavirus ~ ViralZone Page. https://viralzone.expasy.org/107?outline=all_by_species. Accessed 18 Oct. 2020.

Taxonomy Browser (Equine Rotavirus Strain H-1). https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=101353&lvl=3&lin=f&keep=1&srchmode=1&unlock. Accessed 18 Oct. 2020."
"Banana streak UA virus",1016854,3,"no_rank","Virus","DNA","ds","Unknown","Naked","Ellipsoid","Yes","Plant","Riham Islam Rithika Lingala Rida Ahmed","TMD","Banana Streak UA Virus, Complete Genome. Aug. 2018. NCBI Nucleotide Database, 332304382, NCBI Nucleotide, http://www.ncbi.nlm.nih.gov/nuccore/NC_015502.1.
James, A. P., et al. “Molecular Characterisation of Six Badnavirus Species Associated with Leaf Streak Disease of Banana in East Africa.” Annals of Applied Biology, vol. 158, no. 3, May 2011, pp. 346–53. DOI.org (Crossref), doi:10.1111/j.1744-7348.2011.00466.x. IMG. https://img.jgi.doe.gov/cgi-bin/vr/main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=651703008. Accessed 8 Nov. 2020. Badnavirus ~ ViralZone Page. https://viralzone.expasy.org/120. Accessed 4 Nov. 2020."
"Banana streak UL virus",1016856,1,"no_rank","Virus","DNA","ds","Unknown","Naked","Helical","Yes","Plant","Jose Leonardo Romero","TMD","Stainton, Daisy, et al. “Genome Sequence of Banana Streak MY Virus from the Pacific Ocean Island of Tonga.” Genome Announcements, vol. 3, no. 3, May 2015. PubMed Central, doi:10.1128/genomeA.00543-15.

Banana Streak UL Virus. https://www.genome.jp/virushostdb/1016856. Accessed 8 Sept. 2020.

Badnavirus ~ ViralZone Page. https://viralzone.expasy.org/120. Accessed 8 Sept. 2020."
"Phlebovirus JS2007-01",1017370,2,"no_rank","Virus","RNA","ss","Negative_strand","Enveloped","Incongruent","Yes","Animal Human Plant","Shanna Huang Sarah Shalan","TMD","Phlebovirus ~ ViralZone Page. https://viralzone.expasy.org/252?outline=all_by_species. Accessed 6 Nov. 2020. Elliott, Richard M., and Benjamin Brennan. “Emerging Phleboviruses.” Current Opinion in Virology, vol. 5, no. 100, Apr. 2014, pp. 50–57. PubMed Central, doi:10.1016/j.coviro.2014.01.011."
"Thysanoplusia orichalcea nucleopolyhedrovirus",101850,2,"no_rank","Virus","DNA","ds","Unknown","Incongruent","","Yes","Animal","Ryan Feng Salma Benitez","TMD","Taxonomy Browser (Thysanoplusia Orichalcea Nucleopolyhedrovirus). https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=101850. Accessed 6 Nov. 2020.

Baculoviridae ~ ViralZone Page. https://viralzone.expasy.org/13. Accessed 6 Nov. 2020. Europe PMC. https://europepmc.org/article/med/10843835. Accessed 9 Nov. 2020.

Wang, Yun-Sheng, et al. “Genome of Thysanoplusia Orichalcea Multiple Nucleopolyhedrovirus Lacks the Superoxide Dismutase Gene.” Journal of Virology, vol. 86, no. 21, Nov. 2012, pp. 11948–49. PubMed Central, doi:10.1128/JVI.02119-12."
"Vaccinia virus Dairen I",10250,3,"no_rank","Virus","DNA","ds","Unknown","Enveloped","Incongruent","Yes","Animal Human","Anastassiya Skripchenko Aliza Katz Amina Durakovic","TMD","Ryan, Kenneth J., et al., editors. Sherris Medical Microbiology: An Introduction to Infectious Diseases. 4th ed, McGraw-Hill, 2004.

Sánchez-Sampedro, Lucas, et al. “Attenuated and Replication-Competent Vaccinia Virus Strains M65 and M101 with Distinct Biology and Immunogenicity as Potential Vaccine Candidates against Pathogens.” Journal of Virology, vol. 87, no. 12, June 2013, pp. 6955–74. jvi.asm.org, doi:10.1128/JVI.03013-12.

Untitled Document. https://web.stanford.edu/group/virus/pox/2005/index2.html. Accessed 23 Aug. 2020. Johnson, Luke, et al. “Characterization of Vaccinia Virus Particles Using Microscale Silicon Cantilever Resonators and Atomic Force Microscopy.” Sensors and Actuators B: Chemical, vol. 115, no. 1, May 2006, pp. 189–97. ScienceDirect, doi:10.1016/j.snb.2005.08.047.

Moussatche, Nissin, and Richard C. Condit. “Fine Structure of the Vaccinia Virion Determined by Controlled Degradation and Immunolocalization.” Virology, vol. 475, Jan. 2015, pp. 204–18. PubMed Central, doi:10.1016/j.virol.2014.11.020.

Vaccinia Virus (Strain Dairen I) (VACV). https://www.uniprot.org/taxonomy/10250. Accessed 19 Aug. 2020.

Taxonomy Browser (Vaccinia Virus Dairen I). https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=10250. Accessed 19 Aug. 2020.

Vaccinia Virus ATCC ® VR-2010TM. https://www.atcc.org/en/Products/All/VR-2010.aspx#characteristics. Accessed 19 Aug. 2020. E5R - Protein E5 - Vaccinia Virus (Strain Dairen I) (VACV) - E5R Gene & Protein. https://www.uniprot.org/uniprot/Q01478. Accessed 23 Aug. 2020.

Sánchez-Sampedro, Lucas, et al. “Attenuated and Replication-Competent Vaccinia Virus Strains M65 and M101 with Distinct Biology and Immunogenicity as Potential Vaccine Candidates against Pathogens.” Journal of Virology, vol. 87, no. 12, June 2013, pp. 6955–74. jvi.asm.org, doi:10.1128/JVI.03013-12.

QuickGO. https://www.ebi.ac.uk/QuickGO/term/GO:0030430. Accessed 23 Aug. 2020."
"Vaccinia virus Lister",10252,3,"no_rank","Virus","DNA","ds","Unknown","Enveloped","Complex","Yes","Animal Human","Jose Agregado Jonathan Gao Joo Sun Priscilla Mun","TMD","Dimier, Julie, et al. “Deletion of Major Nonessential Genomic Regions in the Vaccinia Virus Lister Strain Enhances Attenuation without Altering Vaccine Efficacy in Mice.” Journal of Virology, vol. 85, no. 10, May 2011, pp. 5016–26. jvi.asm.org, doi:10.1128/JVI.02359-10. Orthopoxvirus ~ ViralZone Page. https://viralzone.expasy.org/149?outline=all_by_species. Accessed 19 Nov. 2020.

Zonov, Evgeniy, et al. “Features of the Antitumor Effect of Vaccinia Virus Lister Strain.” Viruses, vol. 8, no. 1, Jan. 2016. PubMed Central, doi:10.3390/v8010020. Hiley, Crispin T., et al. “Lister Strain Vaccinia Virus, a Potential Therapeutic Vector Targeting Hypoxic Tumours.” Gene Therapy, vol. 17, no. 2, Feb. 2010, pp. 281–87. PubMed Central, doi:10.1038/gt.2009.132.

Lorenzo, María M., et al. “Intracellular Localization of Vaccinia Virus Extracellular Enveloped Virus Envelope Proteins Individually Expressed Using  a Semliki Forest Virus Replicon.” Journal of Virology, vol. 74, no. 22, Nov. 2000, pp. 10535–50."
"Raccoonpox virus",10256,3,"species","Virus","DNA","ds","","Incongruent","Complex","Yes","Animal","NA Alena LeBron Alleyah Hanson","TMD","NA Raccoonpox Virus. https://www.genome.jp/virushostdb/10256. Accessed 16 Mar. 2020.

Kingstad-Bakke, Brock, et al. “Mucosal Administration of Raccoonpox Virus Expressing Highly Pathogenic Avian H5N1 Influenza Neuraminidase Is Highly Protective against H5N1 and Seasonal Influenza Virus Challenge.” Vaccine, vol. 33, no. 39, Sept. 2015, pp. 5155–62. ScienceDirect, doi:10.1016/j.vaccine.2015.08.005.

Geoffrey L. Smith, Alain Vanderplasschen and Mansun Law. “The formation and function of extracellular enveloped vaccinia virus.” Journal of General Virology (2002), 83, 2915-2931.

Condit, Richard C., et al. “In A Nutshell: Structure and Assembly of the Vaccinia Virion.” Advances in Virus Research, vol. 66, Academic Press, 2006, pp. 31–124. ScienceDirect, doi:10.1016/S0065-3527(06)66002-8. JGI GOLD | Organism. https://gold.jgi.doe.gov/organism?id=Go0332442. Accessed 12 Mar. 2020.
Raccoonpox Virus ATCC ® VR-838™. https://www.atcc.org/products/all/VR-838.aspx#generalinformation. Accessed 12 Mar. 2020."
